Burn_No,Fuel_Type,Fuel_Comp,Santene,Santolina triene,MT isomer,Tricyclene,?Ý-Thujene,?Ý-Pinene,a-fenchene,Camphene,MT isomer.1,MT isomer.2,MT isomer.3,MT isomer.4,MT isomer.5,MT isomer.6,Sabinene,beta-Pinene,Artemiseole,MT isomer.7,MT isomer.8,?°-Myrcene,MT isomer.9,?Ý-Phellandrene,MT isomer.10,3-Carene,a-Terpinene,p-Cymene,D-Limonene,beta-Phellandrene,Eucalyptol,MT isomer.11,?°-Ocimene,?°-Ocimene.1,?ß-Terpinene,Sabinene hydrate, cis,cis-Linalool oxide (furanoid),MT isomer.12,MT isomer.13,Terpinolene,trans-Linalool oxide (furanoid),L-Fenchone,Linalool,?Ý-Campholenal,(4E,6Z)-allo-Ocimene,Limonene oxide, trans-,(+)-Nopinone,(4E,6E)-allo-Ocimene,L-Pinocarveol,Methyl santolinate,L-camphor,Pinocarvone,endo-Borneol,Terpinen-4-ol,Terpineol,Estragole,Myrtenal,Myrtenol,Fenchyl acetate,cis-Chrysanthenol acetate,Bornyl acetate,Thymol,Myrtenyl acetate,?°-Terpinyl acetate,?Ý-Cubebene,SQT isomer,Copaene,alpha-Bourbonene,SQT isomer.1,Beta-elemene,SQT isomer.2,Longifolene,SQT isomer.3,SQT isomer.4,SQT isomer.5,beta-caryophyllene,SQT isomer.6,SQT isomer.7,SQT isomer.8,trans-alpha bergamotene,Aromandendrene,SQT isomer.9,Humulene,SQT isomer.10,SQT isomer.11,SQT isomer.12,alpha-selinene,alpha-bulnesene,Cadinene SQT isomer,beta-Bisabolene,SQT isomer.13,Gamma-cadinene,Delta-cadinene,Humulene.1,Cadinene SQT isomer.1
burn10,Doug fir,composite,2.1377472888423243e-05,,,9.69822115456748e-05,4.500856661333268e-06,0.000106824,,0.00040102,,,5.9518624246157716e-06,,,,3.0151910408066866e-05,1.9072866495229222e-05,,,,2.139687259423739e-05,,,,3.648800229698904e-06,,1.941386995719828e-05,0.000143454,,,,,,,,,,,8.030495214102936e-06,,,,,,,,,,,,,,,,,,,,,0.000162161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burn11,Doug fir,composite,6.0656898789063937e-05,,1.3318133085851015e-05,0.000230521,,0.000214242,,0.000628411,,,2.7627977539856433e-05,,,,2.0170517212231837e-06,8.289641356339151e-05,,1.3525216735867297e-06,3.578864319311936e-06,7.02292208022167e-05,,,8.245132318907458e-06,7.379035523027791e-06,,3.367481855612782e-05,0.000331894,,,2.9371314913209634e-06,1.1426405533401609e-05,2.1117127721042633e-05,1.6817421021173814e-06,,,,,9.857178937857047e-06,,1.6347934216982139e-06,2.2526676999082337e-05,,2.8423394823585255e-06,2.2244198839736564e-06,,,,,9.656251644266452e-06,,8.001087282271742e-06,,2.825107130083959e-06,,,,,,0.000354759,,,,,1.6058712163910255e-06,,,,,,1.6046519768170177e-05,,,,,,,,,,,9.515086453363011e-07,,,,,,,,,,,,,,,,
burn14,Doug fir,composite,3.63212913760885e-05,,8.173564592959075e-06,0.000124681,,0.000171721,,0.000608152,,,9.15879786759715e-06,,,,,6.46667271685044e-05,,,,4.5299973265671575e-05,,,4.935330773493594e-06,3.903849146354766e-05,,1.8934171015073913e-05,0.000236065,,,,8.828289234923016e-06,1.1578814947274999e-05,2.4157748575260193e-06,,,,,7.2360435803940354e-06,,,1.901404689304251e-05,,3.7497726927907257e-06,,,,,,5.2906268254637395e-06,,,,4.183015005048629e-06,,,,,,0.000383821,1.2259925609507076e-06,,,,,,,,,,9.759036235115619e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
burn18,Doug fir,canopy,9.257799608742358e-05,,1.6828008419951445e-05,0.000306524,,0.000237117,,0.001082598,,,2.2855305777455616e-05,,,,2.9384099804883034e-06,0.000122117,,,1.0716042504102186e-05,8.351824003554795e-05,,,7.945617020342547e-06,,,2.3421565243625277e-05,0.000387846,,,,9.386861908761154e-06,1.0914604693342652e-05,3.081710976403935e-06,,,,,1.0029042315642967e-05,,,1.1752132685476701e-05,,7.398138988303399e-06,,,,,,6.109964523841212e-06,,7.313532280872459e-06,,,,,,,,0.000420422,,,,,,,,,,,5.641599407541392e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
burn22,Doug fir,litter,,,,1.6166211974835387e-06,,3.0194098242793243e-05,,9.357532167898948e-06,,,2.23003277908393e-06,,,,,0.000107284,,,,1.98373077625993e-05,,,2.3310691095978804e-06,2.1233932915576315e-05,,1.6528832607088403e-05,4.006413948386218e-05,,,,,,,,,,,,,,,,,,,,,,,9.332653881760696e-06,,,,,5.218930014943043e-06,,,,,,,,,,,,,,,2.0075941986059525e-06,,,,8.319297933673749e-07,,,,,,,,7.867566231125922e-07,,,,,9.621792723969434e-07,,,,,,,,,,
burn31,Doug fir,rotten log,,,,4.334530115375298e-06,,,,1.6019488935166256e-05,,,,,,,,,,,,,,1.730014824280423e-06,,,2.923379440636083e-06,2.3598806605261753e-05,2.5358205775810743e-06,,,,,,7.201136439194161e-07,,,,,,,7.454830172503758e-07,,,,,,,,,3.6442854093646844e-06,,5.764807355463145e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1775085298647777e-06,,,,,,,,
burn43,Doug fir,litter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burn45,Doug fir,canopy,0.000212623,,2.6006054318548874e-05,0.000443736,1.3582225966527485e-05,0.000492648,,0.001302729,,,3.689969870651939e-05,,,,4.4937228829140166e-05,0.000208574,,2.2605493092801885e-05,,0.000129375,,,1.4198354779819487e-05,1.2641218910914794e-05,7.862993130013315e-06,5.72480085308153e-05,0.00047359,,,,1.7650900451044784e-05,6.451753126019433e-05,7.339204672492391e-06,,,,,,,,1.5738204011132865e-05,,1.720661774951607e-05,,,1.0167278431935014e-05,,,1.111723996360442e-05,,2.1056191484349793e-05,,,,,,,,0.000541441,,,,,,,,,,,1.176082507695887e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
burn57,Doug fir,composite,3.7397315380594315e-05,,3.5681262283974122e-06,9.489312584232864e-05,2.988621678892827e-06,0.000147644,,0.00045654,,,4.337416368982518e-06,,,,1.597725430395977e-05,3.4335305744530655e-05,,,,2.46085340976009e-05,,,2.6241427716622873e-06,2.384476853653531e-05,,1.5375487210869242e-05,0.000137995,,,,3.2912385160324963e-06,4.010450675211901e-06,,,,,,7.3175185254818025e-06,,,,,,,,,,,3.397201046056385e-06,,4.476170507376672e-06,,,,,,,,0.000241694,,,,,,,,,,,4.677599091797381e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
burn64,Doug fir,canopy,9.885313243975951e-05,,2.2434247249875564e-05,0.000291303,1.2385845265739918e-05,0.000242383,,0.000471821,,,3.28674859295223e-05,,,,0.000115613,9.989631073529121e-05,,,2.2280136581268925e-05,9.115057411193016e-05,,,1.1104741200313891e-05,1.7782450940966747e-05,6.514131883212336e-06,5.0785901001401406e-05,0.000343176,,,3.934092795784287e-06,1.4047145692901768e-05,5.803000286867832e-05,6.809979360564468e-06,,,,,5.9721324773252447e-05,1.2142411892001642e-06,,1.2060595261712204e-05,,6.911605129387171e-06,,,3.7968772831063754e-06,,,9.506064290466583e-06,,1.3501296228657523e-05,4.765726907636451e-06,4.478644442735366e-06,,,,,,0.000424846,,,,,5.804709802556136e-07,,,,,,8.16264961680724e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
burn08,Engelmann,composite,,,,4.952703972992641e-06,,,,1.4192162024650721e-05,,,,,,,,,,,,1.2740956400579813e-05,,,,,,1.6390995937026084e-05,1.1928956660479435e-05,,,,,,1.4114367539708172e-06,,,,,,,,,,,,,,,,1.2989284286303092e-05,,,,,,,,,,1.293274785711401e-05,9.594945778535765e-07,,,,,,,,,,3.524756607534655e-06,,,,,,,,,,,,,,,,,,,3.514847156090043e-06,,,,,,,,
burn09,Engelmann,composite,,,,5.526322145545424e-06,,,,1.5255272836631567e-05,,,,,,,,2.0033006562601878e-05,,,,2.0048930043768292e-05,,,,4.456456804087314e-06,,2.25246369749719e-05,1.6559798271541814e-05,2.648494925360795e-05,,,,,,,,,,,,,,,,,,,,,1.2505015738266003e-05,,,,,,,,,,9.86157861211587e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
