Sample,True_Fuel,Predicted_Fuel,Fir_Probability_%,Pine_Probability_%
burn11,Fir,Fir,100.0,3.62190448962001e-17
burn14,Fir,Fir,100.0,8.525687102225883e-17
burn18,Fir,Fir,100.0,2.7550978586671798e-18
burn45,Fir,Fir,100.0,3.351267878319687e-16
burn57,Fir,Fir,100.0,2.5671745080216128e-17
burn64,Fir,Fir,100.0,1.3675559838329466e-15
burn07,Pine,Pine,9.769962616701378e-13,99.99999999999902
burn40,Pine,Pine,0.0,100.0
burn42,Pine,Pine,3.6542464609823355e-07,99.99999963457536
burn63,Pine,Pine,1.3677947663381929e-11,99.99999999998633
burn04,Pine,Pine,0.0,100.0
burn16,Pine,Pine,4.2856829196580293e-10,99.99999999957143
burn37,Pine,Pine,0.0,100.0
burn39,Pine,Pine,0.0,100.0
burn59,Pine,Pine,1.3322676295501878e-13,99.99999999999987
burn72,Pine,Pine,0.0,100.0
burn15,Fir,Fir,99.99999999999977,2.2825725904867615e-13
burn47,Fir,Fir,99.99999999999997,3.796444458875944e-14
burn56,Fir,Fir,99.99999572602901,4.273970992596942e-06
burn67,Fir,Fir,99.99999999996784,3.215766082767546e-11
